另外年的分数线pnt呢？,历史数据查询
理科女生，河北考生，高考556分，请问我该选择怎样的大学。,学校及专业推荐
老师你好！我是陕西西安的我儿子是学理科的，估分大概是580左右，填志愿的时候应该怎么填？应该选那些学校？那些专业？,学校及专业推荐
学什么专业好呢？,推荐专业
四个专业中应该如何选择？,推荐专业
大学学哪个专业和它比较挂钩？,推荐专业
转专业难吗？,推荐专业
可以报什么专业,推荐专业
我该学什么专业呢？,推荐专业
学什么专业？,推荐专业
报考什么专业一片迷茫,推荐专业
选专业有什么问题吗,推荐专业
请问maj，maj，哪个好？,推荐专业
maj，maj哪个专业更适合,推荐专业
什么样的专业更好,推荐专业
文科女生适合哪些专业，以后就业前景还不错的适合哪些专业，以后就业前景还不错的,推荐专业
什么样的专业更好,推荐专业
不知道哪些专业收女生，,推荐专业
同一所大学里二本学院和一本学生有什么区别？,推荐专业
个人想学管理类,推荐专业
选什么专业呢？,推荐专业
专业什么的没有头绪能给点意见吗,推荐专业
2017年湖南高考请问614能上哈尔滨工业大学吗具体什么专业能上天津大学具体什么专业能选择优势专业吗,推荐专业
学什么专业好呢？？,推荐专业
请问女生学电子商务可以吗,推荐专业
文科女生适合什么样的专业,推荐专业
适合文科女生的专业有哪些推荐,推荐专业
我是一名女生，我想问一下，移动通信技术，口腔医学技术，会计电算化，药学，建筑工程技术，哪一个专业跟可能就业方便，更适合女生，？,推荐专业
管理学，那些比较好？理科男,推荐专业
现在高一，平时考试630左右，男生有什么适合的专业，想考军校,推荐专业
我想问一下，学医好还是学法律好？我是文科生。,推荐专业
文科可以选什么专业,推荐专业
福建，，理科，，，390~410数学不好，，什么专业比较好,推荐专业
社会体育专业，和体育管理运专业怎么样,推荐专业
女生不想学专业知识特别强得专业有哪些，不想学习太多的理论空架子有哪些专业,推荐专业
人工智能也就是仿生机械是什么专业这个专业好吗我喜欢动手迷恋机器人或者是制作小机械应该选什么专业好求解答谢谢,推荐专业
我是17年山西高考生成绩大概在500上下我想去工商管理专业强一点的大学哪怕是个二本但专业硬都行有好的推荐吗谢谢各位指导,推荐专业
女生读点啥专业好,推荐专业
学习不好如果学专科有没有就业好的专业,推荐专业
软件工程和计算机科学与技术有何异同？,推荐专业
我不知道自己选什么专业，但是心里有想做的，但又觉得我选的不靠谱，我应该听从别人的安排吗,推荐专业
现在有关于计算机有什么专业吗？,推荐专业
河南理科女生适合填报什么专业，580分左右,推荐专业
估分410广东理科考生应该报考什么专业,推荐专业
湖南文科生高考大概550多可以选什么专业,推荐专业
男生专科学什么就业比较容易，且发展前景广泛。,推荐专业
女生不知道明年学什么专业,推荐专业
460分文科，可以上什么学校，什么专业比较好！我外语学的是俄语！,推荐专业
选专业时要注意什么,推荐专业
大学女生能学什么专业？,推荐专业
山东一女生，高考557理科青岛大学哪些专业有希望？,推荐专业
报考哪所大学的几率被录取的几率高一些,推荐学校
有没有好些的学校?,推荐学校
推荐几所学校?,推荐学校
选什么学校才好？,推荐学校
有没有大学不是排名很靠前但专业很好的大学?,推荐学校
不知道上个啥学校稳？,推荐学校
能去哪个学校,推荐学校
可以报考哪所学校,推荐学校
可以上什么大学,推荐学校
我应该考虑哪些学校呢,推荐学校
有什么好的学校可以建议一下吗？,推荐学校
能给我推荐下好的学校吗？,推荐学校
麻烦推荐一下去哪些大学比较好,推荐学校
请问能上什么样的大学？,推荐学校
不知道去哪个学校,推荐学校
不知道填报哪所学校比较好？,推荐学校
那哪一些大学会比较好一些，,推荐学校
学校，有什么好的推荐一下,推荐学校
最有希望被哪所院校录取？,推荐学校
报某大学行吗,推荐学校
可以报比自已分数稍高点的学校吗？,推荐学校
想找个三本院校或者二本院校pro境内的，给点推荐,推荐学校
有什么比较好的二本？,推荐学校
还有比较好的中医大学吗？,推荐学校
求推荐,推荐学校
没什么大学可以选……求推荐,推荐学校
如果想出省，有什么好的学校可以建议一下吗？,推荐学校
求介绍本科院校或专科院校。,推荐学校
上专科还是上本科好,推荐学校
有哪些推荐的学校吗,推荐学校
想请老师帮我规划一下志愿填报,推荐学校
可以能推荐一下吗？最好是pro的二本。,推荐学校
可以报pro的什么学校,推荐学校
能上什么本科院校吗？,推荐学校
可以选择什么样的大专,推荐学校
能报什么学校？,推荐学校
报哪些学校合适呢？求帮忙给些建议。,推荐学校
有哪些能报的学校？,推荐学校
有什么推荐学校classy,推荐学校
离pro不太近也不太远的二本好大学有哪些啊,推荐学校
选学校时第一志愿最好选比自己的名次高多少的学校？能帮我推荐几个学校吗？,推荐学校
能上省内那些一本大学,推荐学校
本省的二本，不知道哪个更稳妥,推荐学校
三本呢还是专科求建议,推荐学校
可以报哪些三本学校？,推荐学校
麻烦老师推荐专科学校,推荐学校
想选pro省内教育类的学校，求指导,推荐学校
可以报考省内哪些普通二本学校,推荐学校
应该报什么样的学校，,推荐学校
有什么好的学校推荐吗？,推荐学校
我该怎么办？,推荐学校
报什么大学合适,推荐学校
有什么合适的省内学校可报考？,推荐学校
有什么合适我的院校吗？,推荐学校
上三本还是专科,推荐学校
现在十分迷茫不晓得填什么学校,推荐学校
请问能报什么样的大学，最好能具体一点,推荐学校
能冲刺的大学,推荐学校
内蒙古大学和石河子大学都咋样？,推荐学校
民办二本还是专科院校？哪个好一点,推荐学校
报本省一般的一本院校，还是要报一线城市的二本院校好?,推荐学校
推荐几所好点的学校呗.,推荐学校
请问有哪些大学录取？,推荐学校
哪个大学的工商管理专业最好呢？,推荐学校
成绩不好，怎么办,推荐学校
有没有好的大学可以填,推荐学校
可以填报那些经济学比较好的大学？,推荐学校
能推荐几所河南的学校吗？,推荐学校
上哪个二本靠谱点？,推荐学校
请问能报什么样的学校？最好在Pro,推荐学校
高考444我可以去哪些学校,推荐学校
理科生508报什么学校专业？,推荐学校
您好，如果我考了506是报本省一般的一本院校，还是要报一线城市的院校，如果是一线城市可能只能报一个二本院校，但是我发现院校综合实力还是那个二本院校靠前。对于专业我没有特别的要求，只要不是搞科研的就可以,推荐学校
今年高考分数517，想学电脑技术或研发人工智能，请问应当选什么学校好？,推荐学校
我是贵州考生文科497女不知道选什么学校,推荐学校
文科，河南省，298能上什么好点的大专,推荐学校
高考成绩超二本线能上什么大学,推荐学校
山西文科480想报河南的大学，请推荐几所，谢谢,推荐学校
有体育专业的二本院校有哪些,推荐学校
高考分数估计刚过二本线10分左右，有没有学校推荐一下,推荐学校
美术生想报郑州的三本，有什么好的建议吗，分数文化课过了b段两分，艺术过了17分,推荐学校
今年考了514，刚刚上重本线，排名70741，问一下有什么偏好的师范类学校,推荐学校
海南高考分数为653冲刺阶段，保稳阶段可报考哪些学校,推荐学校
你好，我是河南理科生，高考考了397，请问报警校怎么样,推荐学校
有哪些比较好的大专院校推荐一下谢谢,推荐学校
您好我是辽宁省文科女考生。考了562一本线532想去一些好点的城市麻烦推荐一下去哪些大学比较好,推荐学校
我是河南考生，理科，482分，能上省内哪些好的学校，求推荐,推荐学校
我是山西理科考生，17年要高考，学习不太好，大概考470，想学医，能考到南方的的医学类院校吗,推荐学校
今年我在河北考了548分，省排名32657左右，请问能上什么样的大学？,推荐学校
天津603分3740名以后想进IT应该报那几所学校啊,推荐学校
318分能去什么学校？,推荐学校
我是甘肃理科考生，考了414，能不能推荐几所学校,推荐学校
会计学哪几所南方大学比较好？出国交流机会比较多？,推荐学校
"你好老师，我考了511,是独生子女，河北省能报那所大学",推荐学校
我是重庆文科生，高考496，该怎么选择好的二本,推荐学校
2017安徽考生文科522分，省内排名14065，能上什么一本大学，谢谢了,推荐学校
我是四川的考生，高考考了549不知道填报四川哪所学校比较好？,推荐学校
我是山东考生，今年考了586分，排名24415.我报青岛大学好，还是山东科技大学好，我喜欢理科,推荐学校
那个就是我想学经济学之类的，我是一名女生，如果想学经济之类的，那哪一些大学会比较好一些，我想找个目标去奋斗,推荐学校
上三本还是专科好，三本学费太贵，专科有喜欢的专业,推荐学校
我是河南考生，高考分数576名次是15197我该报那些学校,推荐学校
我高考401分想读3本师范类学校，有什么好的推荐一下，谢谢。,推荐学校
比今年三本线高24分。想上个三本医学院。有哪些可以推荐,推荐学校
我考了452分，最有希望被哪所院校录取？,推荐学校
老师您好！我是海南省考生572分，有的学校前几年是收二本的，近几年才只收一本，今年我省一二合并后报志愿是该考虑该校一本线还是二本线呢,推荐学校
你好！我家孩子考了330分，上哪些专科好的学校？,推荐学校
内蒙古考生，今年考了310分，女生。今年二本分数线为328。大家觉得我应该报什么学校呢,推荐学校
甘肃省理科女413分位次54130可以报考什么大学,推荐学校
山西考生，今年393分，有什么医科类的学校吗，走二本可能吗？有什么好的专科学校吗,推荐学校
广东530分，选什么大学？,推荐学校
我是来自山西的一名女生，高考成绩为467，我想知道我的成绩可以上那些稳妥的大学,推荐学校
选择院校湖南考生，理科，欲估470左右，能上什么学校？,推荐学校
504，想报计算机，可以报哪些大学呀？,推荐学校
孩子是河南文科考生，分数439，省文科排名63327二本不好上，三本太贵了，想让读大专~有没有好的推荐,推荐学校
山西文科考生考570分能上什么大学,推荐学校
云南文科女考生431分自己不是特别喜欢医生老师，个人喜欢经济或者管理。但是父母说老师医生好找工作。现在我报的学校也都是这一类的。你们说我应该改吗？若是读的话哪几个学校好呢？谢谢各位啦！,推荐学校
我是一名福建考生。是位女生，好看374.排名60767有没有什么合适的专业和大学啊。如果可以的话也想继续留在福建，西北和东北是坚决不去的，在这里谢谢大家了。,推荐学校
河南考生411我咋办啊，上不上三本,推荐学校
你好我是辽宁的考生今年理科高考我考了489分，位次全省36085，建议报考那儿些学校,推荐学校
我是湖北理科考生，男生，今年考443分，专业我想选工科专业，但是不知道2本里面哪些学校比较好，什么学校我可以上，麻烦专家推荐一下,推荐学校
河南考生，平时考试总比一本线高20分左右，但高考只考了471，比一本线低13分，请问我是复读还是上大学，如果上的建议上什么大学，对于专业不排斥,推荐学校
我是山东考生考了524能在省内上什么大学,推荐学校
在四川高考分数619分排名6100名填报什么大学好一点？现在很纠结,推荐学校
山东考生458分能选什么学校啊，真着急,推荐学校
估分500分左右，适合走什么院校,推荐学校
我是编导艺体生折合分600在省排名1353哪些综合性院校适合我填呢？,推荐学校
二本中，计算机类的专业较好的大学有哪些？,推荐学校
我想知道三本和专科应该上哪个，我考虑到就业方面觉的上个三本，可是学费方面有点承担不起,推荐学校
内蒙古文科女，一模刚上一本，想学汉语言文学，有没有学校推荐？,推荐学校
河北理科分数450想走一个好一点的师范学校可以推荐一下吗,推荐学校
求解答！！！我高考350分。文科，女。想报个专科。想学师范或医学类的专业。我想问问都有哪些学校？谢谢！,推荐学校
贵州文科考生，今年552，高一本线7分，请问大家推荐一下哪几所大学可读？,推荐学校
高考512分想选省会城市大学有什么推荐吗,推荐学校
你好，我是陕西高考生，今年估分大概一本边沿，估计上不了好一本，但是有什么二本类外语类院校推荐吗？谢谢。,推荐学校
今年四川659，报什么学校好啊,推荐学校
我是湖北的，只考了230多，如果报考广州的学校，有没有什么推荐一下的！！！,推荐学校
我是山西省文科生女生分数是425想选择师范类专科有好点的学校可以推荐么,推荐学校
山西文科475可以报考哪些院校,推荐学校
我女儿今年高考，预测分理科525，她想报医学类，请问这个分数报哪些大学比较理想？,推荐学校
我今年高考分数473，理科，在四川和南京有哪些适合的大学,推荐学校
我分数508分，想学口腔医学，能报哪些大学,推荐学校
山东理科604名次14815能报哪些大学,推荐学校
江西省理科今年高考465分，省内排名57001，请问有哪些学校可以选择,推荐学校
2017辽宁理科女508分不想出省推荐什么一本二本学校？,推荐学校
我在海南，理科生，687分，我想学医，喜欢临床医学，我这个分数可以报考哪些学校会比较好？能给我一些好的医科大学的推荐吗（不一定是临床医学的）？,推荐学校
河南考生一本线485我考了465能上个什么学校,推荐学校
我是河南的考生，女生，喜欢学英语。理科生分数378.省名次219274。二本和三本合为二本。那我不知道该什么样的学校。报二本的学校害怕分达不到，三本学费太贵。那只能报专科了吗,推荐学校
445能去广东哪些二本院校,推荐学校
520分左右去哪个学校的临床医院比较好,推荐学校
352分上高职好，还是上三本好？给点建议，或者给几个学校名字！我是理科,推荐学校
510想学医报哪个大学,推荐学校
我是贵州考生，高考分数刚好高一本10分，请问我该怎么填报大学,推荐学校
女生学小语种专业怎么样？文科570分左右可以到哪个大学学小语种类呢？贵州考生,推荐学校
请问：我是安徽考生，文科578分，省排2378，报哪些院稳妥！谢谢！,推荐学校
我估了大概450分，但是不知道能不能上广东第二师范学院还有广财，现在只考虑二本院校的话，有哪些学校适合？或者珠海三校？,推荐学校
我是安徽的考生，理科，今年考了445，想填一个稍微好点的二本学校，希望给点建议。,推荐学校
我河南考生男579分，想学物联网工程等计算机类专业，请问有哪些院校比较合适？,推荐学校
想学室内设计，有什么好的大学推荐？,推荐学校
我是专科有没有好一点的专科大学,推荐学校
老师您好，我是广西17届文科生，过二本线121分，距离一本27分，喜欢管理专业，不懂有什么院校可以推荐一下呢？？,推荐学校
广西文456分，可以报河南科技大学吗和洛阳师范学院？,推荐学校
我是湖南考生今年439分，可以报哪些学校,推荐学校
机械电子工程哪个学校好,推荐学校
河南考生理科465位次在十万七千名,推荐学校
我是广西考生，我的成绩是省外480省内490，如果选择在省内读，那么会有一个好点的大学，如果选择在省外，那么会有好的人脉好的环境。前者没有好的环境和人脉，比不了一线城市，后者没有一个好的大学，我该怎么选？,推荐学校
理科生486喜欢经济类的，金融管理能不能推荐几所大学,推荐学校
我考了450分，想报一个好点的二本应该报哪？,推荐学校
我是河南省的一名理科复读生女生今年考了425分想上省内的二本院校有可能么希望推荐一些录取机会比较大的二本院校我比较喜欢工商管理和英语,推荐学校
文科没达到专科线能上什么福建省内的什么学校，很急，求解,推荐学校
我是一名贵州的考生考了450想去医学类得大学想问问有没有好一点的医学类得大学推荐贵州的外省的也可以谢谢,推荐学校
我是河北文科女生456分超出二本线61分低于一本线61分省内排名35000请问有哪几所语言类学校可以冲一冲稳一稳感激不尽真谢谢！！！！！,推荐学校
我是2017届高考考生，理科，考了460分，可以填报哪些省内学校,推荐学校
请问海南理科考生611能报哪里？？？求推荐,推荐学校
河南理科考生，只过本一线7分，是报本一还是本二呢,推荐学校
山东女文科生535分能报那个院校,推荐学校
想报考上海的本科大学学习成绩一般500分左右给推荐一下上海的本科大学,推荐学校
200多分在四川上那个专科好点？,推荐学校
预估分620想上军事院校，这样的分数能报什么样的？,推荐学校
河北的文科430的哪个学校专业好一点,推荐学校
是读三本好还是专科好啊？,推荐学校
本人河南考生，理科女，高考474分，省排名96438，外语和数学较好，想上外语类学校，将来从事翻译职业，有没有能录取的学校推荐？,推荐学校
文科521.位次27649，能报什么大学，最好是南方学校,推荐学校
我现在的分数想考一个好一点的专科学校，是单招还是高考，该考那呀,推荐学校
我是一名高三毕业生，来自山东省，文科高考分数373分，想问一下有哪些专科学校可以报,推荐学校
我是内蒙古的考生，我的分数是566。我想知道在华北地区2017年可以进哪些学校。我希望是当一名老师,推荐学校
山东文，515能报什么学校啊,推荐学校
高考成绩过二本线70分(新二本)自己有色弱志愿该如何填报求解,推荐学校
389能上什么计算机或会计专科院校，,推荐学校
我是山东省理科男考生，高考考了510分，我想学临床医学，但我找不到合适的学校，请问有适合我的学校，能推荐几个吗？,推荐学校
山西省学生，是女生，想报考中医学校，有哪些环境好又很强专业性。,推荐学校
成绩出来了只上了本科线两分有没有人帮帮我我想上本科哪里有学校能收留我,推荐学校
我是理科考生考了357超二本线15分请问我们上哪些学校？谢谢解答,推荐学校
你好，我是山东省考生，高出一本13分可以上哪些高校,推荐学校
我高考成绩不是很好，463，比二本线高35，报那些学校比较稳妥，，辽宁鞍山考生文科,推荐学校
我是湖南的考生，裸分490，加上优惠分510，不知能够报考那些学校,推荐学校
新疆省超重本线34分能报那些学校？,推荐学校
441能考哪所学校,推荐学校
考了589去北京的哪所大学好就业,推荐学校
高考失利只考了380分，想去外省，想学会计，能上什么学校？？,推荐学校
北京邮电大学和北京交通大学的通信工程专业哪个更好？谢谢,推荐学校
我是云南理科考生，没考好，估分460，能推荐几所学校吗,推荐学校
高考分数520如果是经济类的专业哪所学校更合适？,推荐学校
福建理科高本一线7分想读英语专业不想去北方的学校因为没有空调和独立卫浴有没有什么比较稳妥的学校推荐？,推荐学校
我是贵州高考毕业生，考了439分…差二本十几分，请问能上那所学校？外省学校承认民族分吗？,推荐学校
我是在海南就读的高三毕业生，今年没有考好，总的分数只有713，想知道有什么好的学校可以上，谢谢,推荐学校
河北省今年考535可以去哪里,推荐学校
我是云南考生，高考考了495分，想学计算机和医学，哪个划算一点？哪个更有前途？,推荐学校
河南理科考生女孩，成绩404，想学医学影像技术，可以报省内的哪些学校,推荐学校
我是安徽考生，分数605，排名4370，可以上什么大学,推荐学校
安徽理科476可以选择哪些学校,推荐学校
理科生，我是山西考生，2017年高考分数476，不知道该报什么大学，请推荐几个大学，不限地域,推荐学校
高考只考了470，需要补习还是说走个二本，想学建筑，有什么学校可以上。,推荐学校
选择二本学校会有多少把握能被选上呢？,是否能被录取
报sch不知道行不行,是否能被录取
报sch大学行吗,是否能被录取
能报考什么大学,是否能被录取
想读sch maj，合适吗,是否能被录取
我可以去一个离家不太远的二本a线院校吗？,是否能被录取
报好的院校会有希望吗,是否能被录取
想知道上大学有把握吗？,是否能被录取
报本科院校有希望没,是否能被录取
能不能上个一般的二本院校？,是否能被录取
比往年录取专科线低十几分可以报吗？,是否能被录取
想报考sch请问有把握被录取吗,是否能被录取
上sch有把握吗？以sch作保底大学可以吗？,是否能被录取
可以上sch大学吗？,是否能被录取
可以报什么专业报本科院校有希望没,是否能被录取
上sch maj有可能吗,是否能被录取
可以冲刺二本吗？,是否能被录取
录取机会大不大？,是否能被录取
读sch保险吗,是否能被录取
报考二本学校录取机率大吗？,是否能被录取
上sch 有可能吗,是否能被录取
想报考sch不是艺考生理科生请问有把握被录取吗,是否能被录取
想去sch，可是只考了358,是否能被录取
到底影不影响？,是否能被录取
报好的院校会有希望吗,是否能被录取
想知道上大学有把握吗？,是否能被录取
报本科院校有希望没,是否能被录取
能不能上个一般的二本院校？,是否能被录取
第一志愿如果没被录取上就是第二志愿录取吗,是否能被录取
每年大学录取成绩都是要猜的吗？,是否能被录取
比往年录取专科线低十几分可以报吗？,是否能被录取
想报考sch不是艺考生理科生请问有把握被录取吗,是否能被录取
上sch大学有把握吗？以上sch大学，sch作保底大学可以吗？,是否能被录取
可以上sch大学吗？,是否能被录取
可以报什么专业报本科院校有希望？,是否能被录取
上sch大学法学有可能吗,是否能被录取
可以冲刺二本吗？,是否能被录取
录取机会大不大？,是否能被录取
读sch大学保险吗,是否能被录取
报考二本学校录取机率大吗？,是否能被录取
sch专业也是二本？,是否能被录取
走高校专项多大概率走北大？,是否能被录取
能上个一般的2本呢？,是否能被录取
提前批能填报几个学校，能否报两个sch？,是否能被录取
是不是考二本大学一点希望都没有了呢？,是否能被录取
想考入军校，,是否能被录取
也不知道sch大概要多少pnt（女生）,是否能被录取
在重庆招学心理学吗,是否能被录取
如果这个专业录满了，会跳到第二志愿学校吗？,是否能被录取
