报哪些学校合适呢？求帮忙给些建议。,推荐学校
有哪些能报的学校？,推荐学校
有什么推荐学校classy,推荐学校
离pro不太近也不太远的二本好大学有哪些啊,推荐学校
选学校时第一志愿最好选比自己的名次高多少的学校？能帮我推荐几个学校吗？,推荐学校
能上省内那些一本大学,推荐学校
本省的二本，不知道哪个更稳妥,推荐学校
三本呢还是专科求建议,推荐学校
可以报哪些三本学校？,推荐学校
麻烦老师推荐专科学校,推荐学校
想选pro省内教育类的学校，求指导,推荐学校
可以报考省内哪些普通二本学校,推荐学校
应该报什么样的学校，,推荐学校
有什么好的学校推荐吗？,推荐学校
我该怎么办？,推荐学校
报什么大学合适,推荐学校
有什么合适的省内学校可报考？,推荐学校
有什么合适我的院校吗？,推荐学校
上三本还是专科,推荐学校
现在十分迷茫不晓得填什么学校,推荐学校
学什么专业好呢？,推荐专业
四个专业中应该如何选择？,推荐专业
大学学哪个专业和它比较挂钩？,推荐专业
转专业难吗？,推荐专业
可以报什么专业,推荐专业
我该学什么专业呢？,推荐专业
学什么专业？,推荐专业
报考什么专业一片迷茫,推荐专业
选专业有什么问题吗,推荐专业
请问maj，maj，哪个好？,推荐专业
maj，maj哪个专业更适合,推荐专业
什么样的专业更好,推荐专业
文科女生适合哪些专业，以后就业前景还不错的适合哪些专业，以后就业前景还不错的,推荐专业
能报那些学校的什么专业,学校及专业推荐
怎么报志愿比较好？,学校及专业推荐
有没有好学校，好专业，费用低点的学校？,学校及专业推荐
请问适合填那些学校和专业？,学校及专业推荐
请问女生适合的专业一本好报么？,学校及专业推荐
比往年录取专科线低十几分可以报吗？,学校及专业推荐
能去什么学校（二本）学什么专业,学校及专业推荐
求帮助今年报志愿的好方法,学校及专业推荐
没有可以去的大学补录记录怎样,学校及专业推荐
怎么填求指导,学校及专业推荐
一本的二本的都要，想去贵大和财大，有希望吗？老师你帮我理一个志愿吧。,学校及专业推荐
纠结选大学，还是选专业，还是城市，不知道去哪，高不成低不就的,学校及专业推荐
可以考哪些学校的什么专业？,学校及专业推荐
有哪些专业大学适合我,学校及专业推荐
想学法学或管理类的需要考研什么的么？,学校及专业推荐
知道哪些学校比较适合自己？专业比较好,学校及专业推荐
城市和专业都没有想过志愿无从下手请老师指导,学校及专业推荐
不知道怎么填志愿和学校了.,学校及专业推荐
想上二本院校怎么报考？,学校及专业推荐
报什么学校，专业？,学校及专业推荐
怎样才能最佳利用平行志愿,学校及专业推荐
请推荐冲稳保志愿,学校及专业推荐
应该复读还是报考学校?,复读
高考再次失利，我不知道该继续补习还是去上大学,复读
是复读，还是走三本？,复读
因为失利考了上不了二本，该不该重读呢,复读
高考失利，分数还没有达到专科分数线了，还不能复读，该怎么办,复读
不知道能不能上好二本，想复读又害怕明年分数线很高，不知道报什么学校。求帮助,复读
但是考试也失利了，请问我应该复读还是报考学校，推荐几所学校,复读
复读了一年，由于其他因素没考好，可以再去复读吗？,复读
发挥失常要复读么,复读
理综不理想，我不知道要复读还是去上二本学校,复读
有必要复读吗？还有报考哪些学校合适？,复读
我想要复读，请问需要准备什么，能不能复读?,复读
请问一下理科女生适合什么样的专业？,推荐专业
请问，北理的合作办学的会计专业，以及毕业后的去向怎么样？谢谢老师！,专业前景
请问老师，上海财经的会计学、统计学、商务英语、计算机科学与技术，这几个专业哪个更好一些呢？,推荐专业
老师，请问国际商务在哪方面就业？,专业前景
老师好，理科男孩沟通能力不是太好，成绩没有特别突出的，选啥专业？,推荐专业
老师，大连大学的口腔医学怎么样？,专业前景
276分怎么选择学校，有一起的么？,推荐学校
老师，您好。我是文科生，分数要420到470之间，请问有没有什么好一点的法学类学校,推荐学校
预计今年的分数线会比去年高吗,历史数据查询
我是湖南考生今年439分，可以报哪些学校,推荐学校
请问广东文科女生读心理学或应用心理学好吗_就业前景怎么样？,专业前景
如果要选，心理学和应用心理学哪个比较适合,推荐专业
您好，刘老师，请问国际经济与贸易，财务管理这两个专业哪个专业对数学学习能力要求不太高，将来就业更好一些呢？,专业前景
美术专业大概能填那些学校,推荐学校
河南文科531稳妥的能走什么学校,推荐学校
我是内蒙考生考了398二本线是375我该复读还是上大学考试发挥失常,复读
分数估了430，没发挥好，最擅长英语，但是考试也失利了，想学英语专业。请问我应该复读还是报考学校，推荐几所学校,复读
